SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,ReportCategory,ReportSubGroup,AttendanceRate
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Homeless,Not Homeless,86.51
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Gender,Female,86.08
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Gender,Male,87.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Grade,10,88.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Students with Disabilities,Students with Disabilities,86.99
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Ethnicity,American Indian or Alaska Native,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Grade,11,86.17
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Ethnicity,"Black, not of Hispanic origin",86.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Economically Disadvantaged,Economically Disadvantaged,86.05
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Grade,All,86.49
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Grade,12,81.39
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Migrant Status,Not Migrant,86.49
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Ethnicity,"White, not of Hispanic origin",88.49
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Homeless,Homeless,59.82
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Migrant Status,Not Migrant,66.29
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Grade,12,64.27
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Grade,All,66.29
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Economically Disadvantaged,Economically Disadvantaged,65.73
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Grade,11,63.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Ethnicity,"Black, not of Hispanic origin",66.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Ethnicity,American Indian or Alaska Native,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Students with Disabilities,Students with Disabilities,62.92
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Grade,10,68.46
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Gender,Male,65.94
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Homeless,Not Homeless,66.58
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Gender,Female,66.8
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,English Learners,Not English Learners,66.32
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Students with Disabilities,Students without IEP,67.02
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Grade,9,68.37
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,617,Central High School,Economically Disadvantaged,Not Economically Disadvantaged,70.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Economically Disadvantaged,Not Economically Disadvantaged,94.06
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Students with Disabilities,Students without IEP,92.37
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,English Learners,Not English Learners,92.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,0,89.86
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Gender,Female,92.63
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Homeless,Not Homeless,92.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Gender,Male,91.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Students with Disabilities,Students with Disabilities,91.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Ethnicity,"Black, not of Hispanic origin",92.29
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,1,88.84
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,5,94.91
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,All,92.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,2,93.32
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Economically Disadvantaged,Economically Disadvantaged,90.98
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Migrant Status,Not Migrant,92.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,4,93.9
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,689,Chrysler Elementary School,Grade,3,94.45
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Economically Disadvantaged,Not Economically Disadvantaged,87.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Students with Disabilities,Students without IEP,82.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,English Learners,Not English Learners,82.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Gender,Female,83.71
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,6,86.85
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Homeless,Not Homeless,82.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Gender,Male,81.14
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Students with Disabilities,Students with Disabilities,79.92
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,0,79.99
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,1,78.68
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Ethnicity,"Black, not of Hispanic origin",82.81
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,5,84.23
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,All,82.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,2,84.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Economically Disadvantaged,Economically Disadvantaged,81.69
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Migrant Status,Not Migrant,82.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Ethnicity,American Indian or Alaska Native,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,4,82.91
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Grade,3,82.32
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,781,Cooke Elementary School,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,3,81.23
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Migrant Status,Not Migrant,80.39
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,4,79.89
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,American Indian or Alaska Native,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Homeless,Homeless,71.15
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Economically Disadvantaged,Economically Disadvantaged,80.22
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,2,77.85
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,All,80.39
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,1,82.5
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,5,82.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,"Black, not of Hispanic origin",80.43
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Students with Disabilities,Students with Disabilities,78.59
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Gender,Male,80.01
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Homeless,Not Homeless,80.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Gender,Female,80.86
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,Native Hawaiian or Other Pacific Islander,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,0,78.23
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,6,81.12
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,English Learners,Not English Learners,80.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,7,80.86
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Students with Disabilities,Students without IEP,80.82
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Economically Disadvantaged,Not Economically Disadvantaged,82.15
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Grade,8,80.94
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,853,Mackenzie Elementary-Middle School,Ethnicity,Asian,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,3,83.06
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,4,82.24
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Homeless,Homeless,71.01
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Migrant Status,Not Migrant,80.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Ethnicity,"White, not of Hispanic origin",*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,All,80.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Economically Disadvantaged,Economically Disadvantaged,80.21
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,2,79.24
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,5,79.84
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,1,76.63
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Ethnicity,"Black, not of Hispanic origin",80.69
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Students with Disabilities,Students with Disabilities,81.27
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Gender,Male,79.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Homeless,Not Homeless,81.25
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,0,77.08
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,6,81.86
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Gender,Female,81.79
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",English Learners,English Learners,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Students with Disabilities,Students without IEP,80.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",English Learners,Not English Learners,80.72
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Economically Disadvantaged,Not Economically Disadvantaged,86.83
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,7,83.5
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,857,"Marshall, Thurgood Elementary School",Grade,8,83.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,3,90.91
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,4,88.65
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,2,89.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Ethnicity,"White, not of Hispanic origin",86.13
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Migrant Status,Not Migrant,89.09
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Economically Disadvantaged,Economically Disadvantaged,88.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,All,89.09
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,5,91.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Ethnicity,"Black, not of Hispanic origin",84.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,1,88.39
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Students with Disabilities,Students with Disabilities,86.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,6,91.11
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Gender,Male,88.62
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Homeless,Not Homeless,89.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,0,87.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Gender,Female,89.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,English Learners,English Learners,90.85
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Ethnicity,Hispanic,90.23
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Students with Disabilities,Students without IEP,89.42
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,English Learners,Not English Learners,85.11
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Economically Disadvantaged,Not Economically Disadvantaged,90.67
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,8,85.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,858,Munger Elementary-Middle School,Grade,7,88.31
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,3,85.63
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Homeless,Homeless,72.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,4,82.83
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Migrant Status,Not Migrant,82.12
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Ethnicity,"White, not of Hispanic origin",77.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Economically Disadvantaged,Economically Disadvantaged,81.95
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,All,82.12
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,2,82.98
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Ethnicity,"Black, not of Hispanic origin",80.61
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,1,80.74
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,5,84.89
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Students with Disabilities,Students with Disabilities,81.41
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Gender,Male,82.1
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Homeless,Not Homeless,82.2
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,0,81.14
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,6,81.17
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Gender,Female,82.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,English Learners,English Learners,84.05
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Ethnicity,Hispanic,83.37
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Students with Disabilities,Students without IEP,82.28
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,English Learners,Not English Learners,80.08
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,8,78.22
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Economically Disadvantaged,Not Economically Disadvantaged,83.61
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,860,Earhart Elementary-Middle School,Grade,7,83.13
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Homeless,Homeless,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Ethnicity,"White, not of Hispanic origin",92.21
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Ethnicity,Native Hawaiian or Other Pacific Islander,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Migrant Status,Not Migrant,83.5
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Economically Disadvantaged,Economically Disadvantaged,82.48
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Grade,11,84.64
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Grade,12,83.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Grade,All,83.5
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Ethnicity,"Black, not of Hispanic origin",83.08
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Grade,10,80.42
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Students with Disabilities,Students with Disabilities,79.31
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Gender,Male,83.18
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Homeless,Not Homeless,83.62
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Gender,Female,83.78
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,English Learners,English Learners,86.38
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Students with Disabilities,Students without IEP,83.92
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,English Learners,Not English Learners,83.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Ethnicity,Asian,83.06
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Grade,9,85.59
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,865,Benjamin Carson School for Science and Medicine,Economically Disadvantaged,Not Economically Disadvantaged,89.03
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,8,87.98
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,7,85.64
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Ethnicity,Asian,87.87
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Economically Disadvantaged,Not Economically Disadvantaged,86.14
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Students with Disabilities,Students without IEP,85.29
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,English Learners,Not English Learners,82.88
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,0,77.42
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Gender,Female,86.21
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,English Learners,English Learners,87.43
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,6,86.11
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Gender,Male,83.61
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Homeless,Not Homeless,84.93
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Students with Disabilities,Students with Disabilities,82.59
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Ethnicity,"Black, not of Hispanic origin",82.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,1,84.76
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Ethnicity,Two or More Races,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,All,84.93
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,5,88.73
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Grade,2,84.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,880,Davison Elementary-Middle School,Economically Disadvantaged,Economically Disadvantaged,84.83
