SchoolYear,ISD_Code,ISD_OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,EntityType,IHE_Type,Subgroup,Gender,Total_Graduates_All_Students,Total_Enrolled_in_an_IHE_within_0_6_months,Total_%_Enrolled_in_an_IHE_within_0_6_months,Total_Enrolled_in_an_IHE_within_0_12_months,Total_%_Enrolled_in_an_IHE_within_0_12_months,Total_Enrolled_in_an_IHE_within_0_16_months,Total_%_Enrolled_in_an_IHE_within_0_16_months,Total_Enrolled_in_an_IHE_within_0_24_months,Total_%_Enrolled_in_an_IHE_within_0_24_months,Total_Enrolled_in_an_IHE_within_0_36_months,Total_%_Enrolled_in_an_IHE_within_0_36_months,Total_Enrolled_in_an_IHE_within_0_48_months,Total_%_Enrolled_in_an_IHE_within_0_48_months,Total_Accumulating_24_Credits_within_0_12_months,Total_%_Accumulating_24_Credits_within_0_12_months,Total_Accumulating_24_Credits_within_0_16_months,Total_%_Accumulating_24_Credits_within_0_16_months,Total_Accumulating_24_Credits_within_0_24_months,Total_%_Accumulating_24_Credits_within_0_24_months,Total_Accumulating_24_Credits_within_0_36_months,Total_%_Accumulating_24_Credits_within_0_36_months,Total_Accumulating_24_Credits_within_0_48_months,Total_%_Accumulating_24_Credits_within_0_48_months
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,All Students,All Students,45,18,40,19,42.2222,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,African American,Male,19,<10,42.1053,<10,42.1053,,,,,,,,,<10,5.2632,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,Asian,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,African American,All Students,43,<10,20.9302,<10,20.9302,,,,,,,,,<10,6.9767,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,All Students,Female,25,<10,16,<10,20,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,African American,All Students,43,<10,20.9302,10,23.2558,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,All Students,Male,20,<10,25,<10,25,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,All Students,All Students,45,<10,20,10,22.2222,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,Students With Disabilities,All Students,11,<10,27.2727,<10,36.3636,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,All Students,Male,20,<10,15,<10,15,,,,,,,,,<10,5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,African American,Male,19,<10,26.3158,<10,26.3158,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,Economically Disadvantaged,All Students,33,<10,21.2121,<10,21.2121,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,African American,Female,24,<10,25,<10,25,,,,,,,,,<10,8.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,African American,Male,19,<10,15.7895,<10,15.7895,,,,,,,,,<10,5.2632,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,White,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Two Year,African American,Female,24,<10,16.6667,<10,20.8333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,African American,All Students,43,18,41.8605,19,44.1861,,,,,,,,,<10,6.9767,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,All Students,Female,25,<10,24,<10,24,,,,,,,,,<10,8,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,All,African American,Female,24,10,41.6667,11,45.8333,,,,,,,,,<10,8.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,26,Cody Academy of Public Leadership,,LEA School,Four Year,All Students,All Students,45,<10,20,<10,20,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,Hispanic/Latino,Male,<10,<10,50,<10,50,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,African American,Female,10,<10,40,<10,40,,,,,,,,,<10,30,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,English Learners,All Students,<10,<10,50,<10,50,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,English Learners,All Students,<10,<10,50,<10,50,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,African American,All Students,22,10,45.4546,10,45.4546,,,,,,,,,<10,22.7273,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,Economically Disadvantaged,All Students,10,<10,90,<10,90,,,,,,,,,<10,40,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,African American,Female,10,<10,20,<10,30,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,All Students,Male,14,<10,50,<10,50,,,,,,,,,<10,21.4286,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,Economically Disadvantaged,All Students,10,<10,50,<10,50,,,,,,,,,<10,30,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,All Students,Male,14,<10,21.4286,<10,28.5714,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,All Students,All Students,24,16,66.6667,18,75,,,,,,,,,<10,29.1667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,African American,Male,12,<10,50,<10,50,,,,,,,,,<10,16.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,African American,Male,12,<10,25,<10,33.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,All Students,Female,10,<10,60,<10,70,,,,,,,,,<10,40,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,African American,All Students,22,15,68.1818,17,77.2727,,,,,,,,,<10,27.2727,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,All Students,Male,14,10,71.4286,11,78.5714,,,,,,,,,<10,21.4286,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,Hispanic/Latino,Male,<10,<10,50,<10,50,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,All Students,Female,10,<10,20,<10,30,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,African American,All Students,22,<10,22.7273,<10,31.8182,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,All Students,All Students,24,11,45.8333,11,45.8333,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,Hispanic/Latino,All Students,<10,<10,50,<10,50,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,African American,Male,12,<10,75,10,83.3333,,,,,,,,,<10,16.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Four Year,All Students,Female,10,<10,40,<10,40,,,,,,,,,<10,30,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,All Students,All Students,24,<10,20.8333,<10,29.1667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,African American,Female,10,<10,60,<10,70,,,,,,,,,<10,40,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,All,Hispanic/Latino,All Students,<10,<10,50,<10,50,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace High School,,LEA School,Two Year,Economically Disadvantaged,All Students,10,<10,40,<10,40,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,African American,All Students,44,14,31.8182,17,38.6364,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Four Year,All Students,All Students,44,<10,9.0909,<10,9.0909,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,All Students,All Students,44,10,22.7273,13,29.5455,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,African American,Male,22,<10,13.6364,<10,22.7273,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,Economically Disadvantaged,All Students,36,12,33.3333,15,41.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,African American,Female,22,<10,31.8182,<10,36.3636,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Four Year,Economically Disadvantaged,All Students,36,<10,11.1111,<10,11.1111,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,African American,Male,22,<10,13.6364,<10,22.7273,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,African American,Female,22,11,50,12,54.5455,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Four Year,African American,Female,22,<10,18.1818,<10,18.1818,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,All Students,All Students,44,14,31.8182,17,38.6364,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,African American,All Students,44,10,22.7273,13,29.5455,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Four Year,African American,All Students,44,<10,9.0909,<10,9.0909,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Four Year,Homeless,All Students,<10,<10,50,<10,50,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Four Year,All Students,Female,22,<10,18.1818,<10,18.1818,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,All Students,Male,22,<10,13.6364,<10,22.7273,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,Homeless,All Students,<10,<10,50,<10,50,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,Students With Disabilities,All Students,10,<10,20,<10,30,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,Economically Disadvantaged,All Students,36,<10,22.2222,11,30.5556,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,Students With Disabilities,All Students,10,<10,20,<10,30,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,All,All Students,Female,22,11,50,12,54.5455,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,All Students,Male,22,<10,13.6364,<10,22.7273,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,30,Osborn College Preparatory Academy,,LEA School,Two Year,All Students,Female,22,<10,31.8182,<10,36.3636,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,African American,All Students,64,<10,12.5,<10,12.5,,,,,,,,,<10,6.25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,Economically Disadvantaged,All Students,55,10,18.1818,13,23.6364,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,All Students,Male,35,<10,11.4286,<10,11.4286,,,,,,,,,<10,5.7143,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,Economically Disadvantaged,All Students,55,15,27.2727,18,32.7273,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,Students With Disabilities,All Students,19,<10,21.0526,<10,26.3158,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,Students With Disabilities,All Students,19,<10,21.0526,<10,26.3158,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,Asian,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,All Students,All Students,65,13,20,16,24.6154,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,All Students,Female,30,<10,16.6667,<10,23.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,Asian,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,All Students,All Students,65,<10,12.3077,<10,12.3077,,,,,,,,,<10,6.1539,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,All Students,Female,30,<10,13.3333,<10,13.3333,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,African American,Female,30,<10,30,11,36.6667,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,African American,Male,34,11,32.3529,12,35.2941,,,,,,,,,<10,5.8824,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,All Students,Male,35,12,34.2857,13,37.1429,,,,,,,,,<10,5.7143,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,Asian,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,African American,All Students,64,12,18.75,15,23.4375,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,All Students,Male,35,<10,22.8571,<10,25.7143,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,African American,All Students,64,20,31.25,23,35.9375,,,,,,,,,<10,6.25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,Economically Disadvantaged,All Students,55,<10,9.0909,<10,9.0909,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,African American,Male,34,<10,20.5882,<10,23.5294,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,All Students,All Students,65,21,32.3077,24,36.9231,,,,,,,,,<10,6.1539,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,African American,Male,34,<10,11.7647,<10,11.7647,,,,,,,,,<10,5.8824,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Four Year,African American,Female,30,<10,13.3333,<10,13.3333,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,African American,Female,30,<10,16.6667,<10,23.3333,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,All,All Students,Female,30,<10,30,11,36.6667,,,,,,,,,<10,6.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn Academy of Mathematics,,LEA School,Two Year,Asian,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,African American,Male,28,<10,7.1429,<10,7.1429,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,All Students,All Students,63,13,20.6349,16,25.3968,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,African American,All Students,61,12,19.6721,15,24.5902,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,White,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,African American,Female,33,10,30.303,13,39.3939,,,,,,,,,<10,6.0606,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,All Students,Female,34,11,32.3529,14,41.1765,,,,,,,,,<10,5.8824,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,Students With Disabilities,All Students,20,<10,5,<10,5,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,All Students,Male,29,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,African American,All Students,61,<10,9.8361,<10,9.8361,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,Economically Disadvantaged,All Students,49,<10,8.1633,<10,14.2857,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,Economically Disadvantaged,All Students,49,10,20.4082,13,26.5306,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,All Students,Female,34,<10,14.7059,<10,23.5294,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,African American,Female,33,<10,15.1515,<10,15.1515,,,,,,,,,<10,6.0606,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,African American,Female,33,<10,15.1515,<10,24.2424,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,White,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,African American,Male,28,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,Hispanic/Latino,Male,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,All Students,All Students,63,<10,9.5238,<10,14.2857,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Four Year,All Students,All Students,63,<10,11.1111,<10,11.1111,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,All Students,Male,29,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,Two Year,African American,All Students,61,<10,9.8361,<10,14.7541,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,Hispanic/Latino,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,35,Osborn Evergreen Academy of Design and Alternative Energy,,LEA School,All,Students With Disabilities,All Students,20,<10,10,<10,15,,,,,,,,,<10,<5%,,,,,,,,
